Texas7k BusNum,Texas7k GenID,Texas7k SubNum,Texas7k Max MW,Texas7k Min MW,EIA-860 Plant Code,EIA-860 Plant Name,EIA-860 Operating Year,EIA-860 Nameplate Capacity (MW),NREL Wind Site,Mapping Status,Distribution Factor,NREL Capacity Proportion
240269,1,4204,120.0,16.0,56775,Scurry County Wind II,2007,120,Camp Springs II Wind Farm,1,0.47904191616766467,156.64670658682635
190114,1,3101,130.5,41.0,56506,Scurry County Wind LP,2007,130.5,Camp Springs II Wind Farm,1,0.5209580838323353,170.35329341317365
190209,1,3137,210.1,64.33,63030,Canadian Breaks  LLC,2019,210.1,Canadian Breaks Wind,1,1.0,210.0
240261,1,4202,112.5,38.65,56763,Capricorn Ridge Wind LLC,2007,112.5,Capricorn Ridge,1,0.16981132075471697,156.22641509433961
240260,1,4202,149.5,16.09,56763,Capricorn Ridge Wind LLC,2007,149.5,Capricorn Ridge,1,0.22566037735849057,207.6075471698113
240259,1,4202,186.0,19.13,56763,Capricorn Ridge Wind LLC,2007,186,Capricorn Ridge,1,0.2807547169811321,258.29433962264153
240258,1,4202,214.5,68.98,56763,Capricorn Ridge Wind LLC,2007,214.5,Capricorn Ridge,1,0.3237735849056604,297.8716981132076
180119,1,2987,150.0,37.02,57260,Cedro Hill Wind LLC,2010,150,Cedro Hill,1,1.0,196.0
240241,1,4196,126.5,20.0,56592,Champion Wind Farm LLC,2008,126.5,Champion (Roscoe II) Wind Farm,1,1.0,165.0
160291,1,2428,249.0,37.2,59193,Chapman Ranch Wind I,2017,236,Chapman Ranch,1,1.0,325.0
190174,1,3125,50.4,12.83,60210,Cotton Plains Wind Farm,2017,50.4,Cotton Plains Wind,1,1.0,66.0
220159,1,3708,167.7,79.53,55992,Desert Sky,2002,167.7,Desert Sky Wind Farm,1,1.0,210.00000000000003
220181,1,3715,121.9,43.42,56783,Elbow Creek Wind Project LLC,2008,121.9,Elbow Creek Wind Farm,1,1.0,159.0
150528,1,2208,230.0,65.32,60338,Electra Wind Farm,2016,230,Electra Wind,1,1.0,300.0
190190,1,3130,163.0,22.04,60856,Astra Wind Farm,2017,163,Falvez Astra,1,1.0,213.0
210354,1,3580,200.0,65.59,61212,Flat Top Wind I,2018,200,Flat Top,1,1.0,261.0
190159,1,3119,155.4,67.69,59245,Fluvanna,2017,155.4,Fluvanna I,1,1.0,203.0
190196,1,3132,350.3,166.12,61402,Foard City Wind,2019,352.8,Foard City Wind,1,1.0,350.0
220169,1,3710,124.2,15.25,56394,Forest Creek Wind Farm LLC,2006,124.2,Forest Creek Wind Farm,1,1.0,162.0
240256,1,4201,69.6,18.23,56754,Goat Wind LP,2008,69.6,Goat Mountain Phase Wind Farm,1,0.4652406417112299,90.72192513368984
240255,1,4201,80.0,11.52,56754,Goat Wind LP,2008,80,Goat Mountain Phase Wind Farm,1,0.5347593582887701,104.27807486631016
210346,1,3577,150.0,48.67,58321,Goldthwaite Wind Energy Facility,2013,150,Goldthwaite,1,1.0,184.0
190198,1,3133,158.0,28.16,61417,Gopher Creek Wind Farm,2019,158,Gopher Creek Wind,1,1.0,158.0
190157,1,3118,200.0,57.88,59068,Colbeck s Corner  LLC,2016,200,Grandview,1,0.48638132295719844,261.67315175097275
190132,1,3108,211.2,101.98,58596,Grandview Wind Farm  LLC,2014,211.2,Grandview,1,0.5136186770428015,276.32684824902725
150520,1,2206,150.0,34.28,59732,Green Pastures Wind I,2015,150,Green Pastures,1,0.5,196.0
190167,1,3122,150.0,57.32,59733,Green Pastures Wind II,2015,150,Green Pastures,1,0.5,196.0
160263,1,2418,283.2,130.47,56661,Pattern Gulf Wind,2008,283.2,Gulf Wind Farm,1,1.0,370.0
220176,1,3713,120.0,31.55,56776,Gunsight Mountain Wind Energy LLC,2016,120,Gunsight,1,1.0,157.0
240272,1,4205,162.3,58.64,56823,Hackberry Wind Farm,2008,165.6,Hackberry Wind Project,1,1.0,216.0
190147,1,3114,200.0,55.1,58773,TX Hereford Wind,2014,200,Hereford 1,1,1.0,131.0
200179,1,3291,250.0,89.47,57617,Hidalgo Wind Farm LLC,2016,250,Hidalgo,1,1.0,326.0
240293,1,4213,230.0,58.11,60339,Horse Creek Wind Farm,2016,230,Horse Creek Wind,1,1.0,300.0
240223,1,4189,213.0,65.5,56291,Horse Hollow Wind Energy Center,2006,213,Horse Hollow,1,0.2895989123045547,278.01495581237253
240222,1,4189,223.5,50.27,56291,Horse Hollow Wind Energy Center,2006,223.5,Horse Hollow,1,0.3038749150237933,291.7199184228416
240221,1,4189,299.0,74.78,56291,Horse Hollow Wind Energy Center,2006,299,Horse Hollow,1,0.4065261726716519,390.26512576478586
240280,2,4208,197.0,90.94,56984,Inadale Wind Farm LLC Hybrid,2009,197,Inadale (Roscoe IV) Wind Farm,1,1.0,257.0
220151,1,3705,82.5,39.83,55747,NWP Indian Mesa Wind Farm,2001,82.5,Indian Mesa Wind Farm I,1,1.0,108.0
180134,1,2993,200.0,42.39,60645,Javelina Wind Energy II  LLC,2016,200,Javelina,1,0.44474093840338,116.96686680008895
180131,1,2992,249.7,40.94,60104,Javelina Wind Energy  LLC,2015,249.7,Javelina,1,0.55525906159662,146.03313319991105
190165,1,3121,299.7,89.2,59621,TX Jumbo Road Wind,2015,299.7,Jumbo Road,1,1.0,391.0
160301,1,2431,307.1,88.86,61343,Karankawa Wind LLC,2019,307.1,Karankawa Wind,1,1.0,206.64
150512,1,2203,110.0,45.8,58838,Keechi Wind,2015,110,Keechi,1,1.0,144.0
220149,1,3704,278.0,74.12,55581,King Mountain Wind Ranch 1,2001,278,King Mountain,1,1.0,373.0
240312,1,4219,199.5,43.68,61782,Live Oak Wind Project,2019,199.5,Langford Wind Farm,1,0.5708154506437768,111.87982832618026
240282,1,4209,150.0,38.26,57153,Langford Wind Power,2009,150,Langford Wind Farm,1,0.4291845493562232,84.12017167381974
150552,1,2215,183.8,24.33,62356,Lockett Windfarm,2019,183.8,Lockett Wind,1,1.0,184.0
210349,1,3578,200.1,59.55,59442,Logans Gap Wind LLC,2015,200.1,Logan's Gap Wind,1,1.0,261.0
240236,1,4194,200.0,74.98,56483,Post Oak Wind LLC,2008,200,Lone Star I Wind Farm,1,0.5,261.0
240233,1,4193,200.0,97.8,56395,Mesquite Wind Power LLC,2007,200,Lone Star I Wind Farm,1,0.5,261.0
190145,1,3113,200.0,29.64,58772,Longhorn Wind,2015,200,Longhorn,1,1.0,261.0
240284,1,4210,75.0,17.98,57303,Loraine Windpark Project LLC,2009,75,Loraine,1,0.5,196.0
240285,1,4210,75.0,13.01,57303,Loraine Windpark Project LLC,2009,75,Loraine,1,0.5,196.0
200207,1,3299,110.0,38.06,60059,Los Vientos V Wind Power,2015,110,Los Vientos,1,0.12066695919262835,143.59368143922774
200181,1,3292,200.0,31.79,57751,Los Vientos Wind 1A,2012,200,Los Vientos,1,0.21939447125932426,261.0794207985959
200184,1,3293,201.6,79.12,57752,Los Vientos Wind 1B,2012,201.6,Los Vientos,1,0.22114962702939886,263.16805616498465
180123,1,2989,200.0,20.0,59320,Los Vientos Windpower III,2015,200,Los Vientos,1,0.21939447125932426,261.0794207985959
180126,1,2990,200.0,25.34,59321,Los Vientos Windpower IV,2016,200,Los Vientos,1,0.21939447125932426,261.0794207985959
200186,1,3294,203.0,42.09,57802,Magic Valley Wind Farm I LLC,2012,203,Magic Valley,1,1.0,263.0
190177,1,3126,148.4,53.98,60270,Blue Cloud Wind Energy LLC,2018,148.4,Mariah Del Este,1,1.0,152.5
190155,1,3117,230.4,66.6,59005,Mariah del Norte,2016,230.4,Mariah North Wind,1,1.0,301.00000000000006
190118,1,3103,150.0,37.02,56773,McAdoo Wind Energy LLC,2008,150,McAdoo Wind Farm,1,1.0,196.0
220209,1,3725,211.2,46.24,59332,Mesquite Creek Wind,2015,211.2,Mesquite Creek,1,1.0,276.0
180143,1,2996,200.0,24.36,62258,Mesteno,2019,201.6,Mesteno Windpower,1,0.45703839122486284,92.13893967093236
180137,1,2994,237.6,117.31,61865,Rio Bravo Windpower  LLC,2019,237.6,Mesteno Windpower,1,0.5429616087751371,109.46106032906762
190139,1,3111,288.6,71.75,58765,Miami Wind Energy Center,2014,288.6,Miami Texas Wind,1,1.0,377.0
160303,1,2432,162.9,33.87,61776,Midway Wind  LLC,2019,162.9,Midway Wind,1,1.0,162.9
190126,1,3106,30.0,9.93,58048,BayWa r.e Mozart LLC,2012,30,Mozart,1,1.0,39.0
220191,2,3719,92.5,12.51,56961,Notrees Windpower Hybrid,2009,92.5,Notrees,1,0.6065573770491803,119.49180327868852
220192,1,3719,60.0,15.64,56961,Notrees Windpower Hybrid,2009,60,Notrees,1,0.39344262295081966,77.50819672131148
220188,1,3718,58.8,8.81,56959,Ocotillo Windpower,2008,58.8,Ocotillo,1,1.0,76.0
190182,1,3127,151.2,37.81,60366,Old Settler Wind,2017,151.2,Old Settler Wind,1,1.0,197.0
240304,1,4217,300.0,139.59,60987,Santa Rita Wind Energy,2018,300,Oveja Wind,1,0.49800796812749004,149.402390438247
240317,1,4221,302.4,109.37,62038,Santa Rita East,2019,302.4,Oveja Wind,1,0.50199203187251,150.597609561753
190129,1,3107,218.0,100.4,58242,Pattern Panhandle Wind LLC,2014,218,Panhandle Wind,1,0.5454090567925944,284.7035276457343
190136,1,3110,181.7,29.81,58720,Pattern Panhandle Wind 2 LLC,2014,181.7,Panhandle Wind,1,0.45459094320740556,237.2964723542657
220183,1,3716,142.5,44.34,56920,Panther Creek Wind Farm I,2008,142.5,Panther Creek I Wind Farm,1,1.0,186.0
220186,1,3717,115.5,37.27,56921,Panther Creek Wind Farm II,2008,115.5,Panther Creek II Wind Farm,1,1.0,151.0
240275,1,4206,199.5,80.49,56979,Panther Creek Wind Farm Three,2009,199.5,Panther Creek III Wind Farm,1,1.0,260.0
160278,1,2423,200.1,31.44,57212,Papalote Creek II LLC,2010,200.1,Papalote Creek,1,0.5142636854279106,255.0747879722436
160273,1,2421,180.0,30.06,56983,Papalote Creek I LLC,2009,180,Papalote Creek,1,0.4626060138781804,229.45258288357746
160283,1,2425,9.0,3.96,58424,Harbor Wind LLC,2012,9,Papalote Creek,1,0.02313030069390902,11.472629144178873
160275,1,2422,201.0,84.93,57095,Penascal II Wind Project LLC,2010,201,Penascal II,1,0.49925484351713856,131.30402384500744
160270,1,2420,201.6,100.49,56795,Penascal Wind Power LLC,2009,201.6,Penascal II,1,0.5007451564828613,131.69597615499254
190162,1,3120,200.0,32.48,59384,South Plains Wind Phase I,2015,200,Pumpkin Farm Wind,1,0.4,112.35999999999999
190172,1,3124,300.0,41.75,60087,South Plains II,2016,300,Pumpkin Farm Wind,1,0.6,168.54
240278,2,4207,249.0,73.62,56981,Pyron Wind Farm LLC Hybrid,2009,249,Pyron (Roscoe III) Wind Farm,1,1.0,325.0
240320,1,4222,300.0,123.43,62259,Ranchero Wind Farm LLC,2019,300,Ranchero Wind,1,1.0,300.0
220214,1,3726,207.2,31.72,59943,Rattlesnake Den,2015,207.2,Rattlesnake,1,0.5642701525054467,152.35294117647058
240296,1,4214,160.0,28.06,60743,Rattlesnake Power  LLC,2018,160,Rattlesnake,1,0.4357298474945534,117.64705882352942
190111,1,3100,84.0,26.37,56457,Post Wind Farm LP,2006,84,Red Canyon Wind Farm,1,1.0,110.0
240291,1,4212,149.3,55.67,60217,Rocksprings,2017,149.3,Rocksprings,1,1.0,36.0
240244,1,4197,209.0,102.94,56593,Roscoe Wind Farm LLC,2008,209,Roscoe Wind Farm,1,1.0,273.0
190134,1,3109,150.0,67.52,58681,Route 66 Wind Plant,2015,150,Route 66,1,1.0,196.0
150549,1,2214,30.2,8.08,62227,Seymour Hills Wind Project  LLC,2019,30.2,S_Hills Wind,1,1.0,30.24
190201,1,3134,300.0,98.39,61921,Tahoka Wind,2018,300,Sage Draw Wind,1,1.0,338.0
190185,1,3128,174.0,39.14,60657,Salt Fork Wind Project  LLC,2016,174,Salt Fork,1,1.0,227.0
200204,1,3298,95.3,24.84,59712,San Roman Wind I  LLC,2017,95.3,San Roman,1,1.0,121.0
220171,1,3711,90.0,40.75,56479,Sand Bluff Wind Farm,2007,90,Sand Bluff Wind Farm,1,1.0,118.0
150505,1,2200,150.0,63.38,57981,Senate Wind LLC,2012,150,Senate,1,1.0,196.0
180128,1,2991,78.0,9.58,59654,Sendero,2015,78,Sendero,1,1.0,102.0
160286,1,2426,226.1,103.56,58614,Patriot Wind Farm,2019,226.1,Shaffer,1,1.0,226.0
150515,1,2204,204.0,46.71,59034,Shannon Wind,2015,204,Shannon,1,1.0,266.0
220195,1,3720,145.0,50.17,57415,Sherbino II,2011,145,Sherbino,1,0.4915254237288136,192.67796610169492
220178,1,3714,150.0,61.18,56779,Sherbino I Wind Farm,2008,150,Sherbino,1,0.5084745762711864,199.32203389830508
150492,1,2195,60.0,27.95,56771,Silver Star I Wind Power Project,2008,60,Silver Star Wind Farm,1,1.0,78.0
240246,1,4198,63.0,20.42,56602,Snyder Wind Farm,2007,63,Snyder Wind Project,1,1.0,82.0
240250,1,4200,101.2,41.42,56649,South Trent Wind Farm,2009,101.2,South Trent Mesa Wind Farm,1,1.0,132.0
190152,1,3116,194.0,25.95,58775,Spinning Spur Wind III,2015,194,Spinning Spur,1,0.5464788732394367,368.3267605633803
190149,1,3115,161.0,52.98,58774,Spinning Spur Wind II,2014,161,Spinning Spur,1,0.4535211267605634,305.6732394366197
220174,1,3712,120.0,15.27,56644,Stanton Wind Energy LLC,2008,120,Stanton Energy Center Wind Farm,1,1.0,157.0
160288,1,2427,201.0,34.11,59063,Stella Wind Farm,2018,201,Stella 2 Wind,1,1.0,201.0
190124,1,3105,165.0,20.91,57983,Stephens Ranch Wind Energy LLC,2014,165,Stephens Ranch,1,0.43882978723404253,215.4654255319149
190123,1,3105,211.0,21.1,57983,Stephens Ranch Wind Energy LLC,2014,211,Stephens Ranch,1,0.5611702127659575,275.5345744680851
240225,1,4190,135.0,38.72,56311,Sweetwater Wind 3 LLC,2005,135,Sweetwater,1,0.22773279352226722,173.98785425101215
240228,1,4191,241.0,78.2,56337,Sweetwater Wind 4 LLC,2007,241,Sweetwater,1,0.40654520917678816,310.60053981106614
240230,1,4192,80.5,23.96,56372,Sweetwater Wind 5,2007,80.5,Sweetwater,1,0.13579622132253713,103.74831309041836
240214,1,4186,98.8,13.75,56212,Sweetwater Wind 2 LLC,2005,98.8,Sweetwater,1,0.16666666666666669,127.33333333333334
240212,1,4185,37.5,16.29,56211,Sweetwater Wind 1 LLC,2003,37.5,Sweetwater,1,0.06325910931174089,48.32995951417004
180140,1,2995,300.0,46.48,61969,Torrecillas Wind Energy  LLC,2019,300,Torrecillas Wind,1,1.0,300.5
240210,1,4184,152.0,24.16,55968,Trent Wind Farm LP,2001,152,Trent Mesa Wind Farm,1,1.0,196.0
150499,1,2198,225.0,112.16,57520,Trinity Hills,2011,225,Trinity Hills,1,1.0,294.0
240266,1,4203,169.5,76.16,56774,Turkey Track Wind Energy LLC,2008,169.5,Turkey Track Wind Farm,1,1.0,221.0
150531,1,2209,125.0,23.31,60502,Tyler Bluff Wind Project  LLC,2016,125.6,Tyler Bluff,1,1.0,164.0
190142,1,3112,257.0,112.9,58766,Wake Wind Energy Center,2016,257.3,Wake,1,1.0,336.0
190116,1,3102,57.0,21.29,56673,Whirlwind Energy Center,2007,59.8,Whirlwind Wind Farm,1,1.0,78.0
180121,1,2988,91.2,30.55,58021,Whitetail,2012,92,White Tail,1,1.0,119.00000000000001
240301,1,4216,250.0,51.32,60901,Willow Springs Wind Farm,2017,250,Willow Springs Wind Farm,1,1.0,326.0
150517,1,2205,67.6,33.41,59238,Windthorst-2,2014,67.6,Windthorst-2,1,1.0,89.0
150507,1,2201,112.5,17.68,58080,Wolf Ridge Wind,2008,112.5,Wolf Ridge Wind Farm,1,1.0,147.0
220153,1,3706,78.0,10.54,55795,Woodward Mountain II,2001,78,Woodward Mountain I & II Wind Farm,1,0.4875,101.8875
220156,1,3707,82.0,11.05,55796,Woodward Mountain I,2001,82,Woodward Mountain I & II Wind Farm,1,0.5125,107.1125
