,Year,Month,Day,Period,Coast,East,Far_West,North,North_Central,South_Central,Southern,West
4600,2018,7,11,11,17207.043131510418,2220.336629231771,3082.825927734375,1504.9540303548176,19680.48291015625,9555.976643880207,4824.6300862630205,1755.1310323079426
4601,2018,7,11,12,17968.575032552082,2313.8126831054688,3139.030253092448,1587.3118591308594,20800.93245442708,10084.065673828123,5037.6007893880205,1858.8116149902344
4602,2018,7,11,13,18541.951009114586,2378.1325887044272,3185.8541259765625,1628.2395324707031,21321.45166015625,10507.72420247396,5182.701904296875,1929.7418314615888
4603,2018,7,11,14,18871.999674479168,2394.0798136393228,3218.3614501953125,1639.0046081542969,21636.396321614586,10873.10978190104,5263.443440755208,1993.5074259440105
4604,2018,7,11,15,18900.0009765625,2398.2178548177085,3240.7144571940103,1607.5714925130208,22060.437662760414,11085.716471354166,5272.1318359375,2009.6236572265625
4605,2018,7,11,16,18551.84814453125,2312.8624877929688,3227.563456217448,1583.0120035807292,22020.34033203125,11050.532877604166,5182.253580729167,1986.1715393066409
4606,2018,7,11,17,17907.215983072918,2190.7046101888022,3221.781046549479,1508.199483235677,21379.3828125,10812.649576822916,5009.764485677083,1962.351003011068
4607,2018,7,11,18,17149.817708333332,2067.4888916015625,3186.8159383138022,1392.8103434244792,20370.7197265625,10373.7275390625,4740.261067708333,1886.6005147298176
4608,2018,7,11,19,16640.12939453125,2010.4234212239585,3139.9470011393228,1311.4080912272136,19644.23518880208,9944.683349609377,4588.313395182292,1797.5150655110676
4609,2018,7,11,20,15867.47713216146,1919.591573079427,3059.7760416666665,1266.642110188802,18631.8994140625,9387.165201822916,4370.296752929688,1735.4913533528645
4610,2018,7,11,21,14871.036214192707,1788.7897847493489,2969.2623697916665,1178.2092386881511,17050.670247395832,8583.423828125,4045.275390625,1621.9899291992188
4611,2018,7,11,22,13825.367106119793,1610.0847473144531,2915.581339518229,1107.2326253255208,15551.85799153646,7742.32246907552,3715.986572265625,1457.9709167480469
4612,2018,7,11,23,12941.2021484375,1521.7334798177085,2868.3883463541665,1021.2820485432944,14319.28084309896,7079.443196614583,3445.4191080729165,1387.565897623698
4613,2018,7,11,24,12293.128580729166,1462.5093587239585,2815.558919270833,963.5908966064452,13431.7119140625,6651.8887125651045,3226.2160441080728,1356.5611470540364
