Year,Month,Day,Period,Forecast_time,Coast,East,Far_West,North,North_Central,South_Central,Southern,West
2018,10,26,1,2018-10-26 01:00:00,10625.4580078125,1475.617919921875,2864.1123046875,797.4916381835938,11619.94921875,6271.728515625,3081.98193359375,1189.7322998046875
2018,10,26,2,2018-10-26 02:00:00,9947.009765625,1608.43505859375,2811.17041015625,773.316650390625,11502.857421875,6207.11865234375,2833.383056640625,1133.6734619140625
2018,10,26,3,2018-10-26 03:00:00,9343.271484375,1446.69775390625,2715.5498046875,727.6178588867188,10883.5859375,5649.146484375,2683.67236328125,1065.4149169921877
2018,10,26,4,2018-10-26 04:00:00,8992.837890625,1304.378662109375,2648.96826171875,663.972412109375,10263.58984375,5308.51806640625,2524.70556640625,1005.4353637695312
2018,10,26,5,2018-10-26 05:00:00,8855.1025390625,1239.15478515625,2613.51025390625,640.5906982421875,9411.3603515625,4907.50634765625,2337.300537109375,963.0179443359376
2018,10,26,6,2018-10-26 06:00:00,7928.224609375,1159.5028076171875,2671.448974609375,725.4317626953125,8796.8056640625,4307.47509765625,1952.4481201171875,896.2938232421875
2018,10,26,7,2018-10-26 07:00:00,7815.6708984375,1158.8848876953125,2645.516845703125,735.9716186523438,8591.3603515625,4190.56884765625,1861.57275390625,871.16259765625
2018,10,26,8,2018-10-26 08:00:00,7914.7412109375,1166.004638671875,2631.52099609375,756.82568359375,8895.2490234375,4459.205078125,1987.8848876953125,825.208740234375
2018,10,26,9,2018-10-26 09:00:00,8058.58935546875,1213.58935546875,2684.8583984375,757.085693359375,9279.7890625,4299.09716796875,2033.2574462890625,930.5211181640624
2018,10,26,10,2018-10-26 10:00:00,8514.490234375,1324.791259765625,2756.095947265625,805.9298095703125,10318.861328125,5236.40087890625,2264.5498046875,987.9168090820312
2018,10,26,11,2018-10-26 11:00:00,9249.4658203125,1380.4664306640625,2816.122802734375,884.6648559570312,10920.146484375,5590.91162109375,2333.94091796875,1039.3680419921877
2018,10,26,12,2018-10-26 12:00:00,9615.4951171875,1410.254638671875,2879.6806640625,902.3546752929688,11274.4345703125,5632.65185546875,2225.372314453125,1102.6251220703123
2018,10,26,13,2018-10-26 13:00:00,10064.142578125,1413.8533935546875,2887.955810546875,952.2855224609376,11230.5986328125,5653.36572265625,2576.359375,1097.0391845703123
2018,10,26,14,2018-10-26 14:00:00,10152.033203125,1416.762939453125,2949.47216796875,939.1055297851562,11247.2685546875,5777.6982421875,2603.271728515625,1058.6112060546877
2018,10,26,15,2018-10-26 15:00:00,10378.8623046875,1373.1534423828125,2970.988525390625,971.646728515625,11248.201171875,5698.80615234375,2687.642333984375,1083.7247314453123
2018,10,26,16,2018-10-26 16:00:00,10329.8876953125,1389.4381103515625,2993.897216796875,958.4548950195312,11360.5419921875,5729.3916015625,2606.1083984375,1038.94482421875
2018,10,26,17,2018-10-26 17:00:00,10646.9267578125,1407.4774169921875,2989.82861328125,868.029052734375,11311.333984375,5873.66162109375,2744.301513671875,1029.7010498046877
2018,10,26,18,2018-10-26 18:00:00,11220.44140625,1398.1201171875,2849.608642578125,912.0724487304688,11416.7646484375,6018.3203125,2884.814453125,1047.3038330078123
2018,10,26,19,2018-10-26 19:00:00,10819.294921875,1457.964599609375,2869.732421875,913.437744140625,11432.68359375,6263.85595703125,2756.02001953125,1056.931396484375
2018,10,26,20,2018-10-26 20:00:00,10600.8955078125,1496.6180419921875,2846.8779296875,903.0485229492188,11252.3603515625,6407.11083984375,2802.8427734375,1082.890625
2018,10,26,21,2018-10-26 21:00:00,10248.8798828125,1465.21875,2866.48681640625,900.607177734375,11386.1328125,6248.69677734375,2812.949951171875,1079.75732421875
2018,10,26,22,2018-10-26 22:00:00,10509.1357421875,1459.6263427734375,2881.519287109375,880.3048095703125,11605.6806640625,6210.75390625,2731.23046875,1114.574462890625
2018,10,26,23,2018-10-26 23:00:00,10111.3642578125,1499.4232177734375,2892.1943359375,880.6798095703125,11488.76171875,6320.744140625,2861.18603515625,1148.501708984375
2018,10,27,0,2018-10-27 00:00:00,10048.6552734375,1511.5477294921875,2893.886474609375,902.8271484375,12371.140625,6217.43017578125,2835.6142578125,1130.6221923828125
